cpd_index,r1,r2,r3,smiles,expt_t_max_count,r1_reagent,r2_reagent,r3_reagent,protein,expt,mw,log_p
OpenDEL0013-102-60-430,102,60,430,CNC(=O)C[C@@H](Cc1ccc(Cl)cc1)NCc1ccc(C(=O)NCCc2nnc3c(=O)n(C4CC4)ccn23)nc1,5,OC(C[C@@H](CC1C=CC(Cl)=CC=1)NC(OC(C)(C)C)=O)=O,COC(C1C=CC(C=O)=CN=1)=O,NCCC1=NN=C2N1C=CN(C3CC3)C2=O,neg_control,expt007,563.0620000000002,2.0837999999999988
OpenDEL0013-104-60-290,104,60,290,CNC(=O)C[C@@H](NCc1ccc(C(=O)NCc2cccc(NC(=O)N(C)C)c2)nc1)C(C)(C)C,6,OC(C[C@H](C(C)(C)C)NC(OC(C)(C)C)=O)=O,COC(C1C=CC(C=O)=CN=1)=O,NCC1C=CC=C(NC(N(C)C)=O)C=1,neg_control,expt007,468.6020000000002,2.7455000000000007
OpenDEL0013-104-60-432,104,60,432,CNC(=O)C[C@@H](NCc1ccc(C(=O)NC(C)C(OC)c2ccc(F)cc2)nc1)C(C)(C)C,5,OC(C[C@H](C(C)(C)C)NC(OC(C)(C)C)=O)=O,COC(C1C=CC(C=O)=CN=1)=O,COC(C1C=CC(F)=CC=1)C(N)C,neg_control,expt007,458.5780000000002,3.3671000000000015
OpenDEL0013-114-60-324,114,60,324,CCC(C)(CNCc1ccc(C(=O)Nc2c(C(F)F)n[nH]c2C)nc1)C(=O)NC,5,CCC(C(=O)O)(C)CNC(OC(C)(C)C)=O,COC(C1C=CC(C=O)=CN=1)=O,FC(C1=N[NH]C(C)=C1N)F,neg_control,expt007,408.4530000000001,2.55492
OpenDEL0013-118-60-320,118,60,320,CNC(=O)CC(NCc1ccc(C(=O)Nc2cnn(C3CCN(C)CC3)c2)nc1)C1CCCCC1,5,OC(CC(C1CCCCC1)NC(OC(C)(C)C)=O)=O,COC(C1C=CC(C=O)=CN=1)=O,CN1CCC(N2N=CC(N)=C2)CC1,neg_control,expt007,481.64500000000044,2.9717000000000002
OpenDEL0013-133-60-213,133,60,213,CNC(=O)C(C)(C)C(NCc1ccc(C(=O)NCCOC2(C)CCCC2)nc1)c1ccccc1,6,CC(OC(NC(C(C(=O)O)(C)C)C1C=CC=CC=1)=O)(C)C,COC(C1C=CC(C=O)=CN=1)=O,NCCOC1(CCCC1)C,neg_control,expt007,466.6260000000003,3.7638000000000016
OpenDEL0013-133-60-335,133,60,335,CNC(=O)C(C)(C)C(NCc1ccc(C(=O)N2CCC(c3nnnn3C)CC2)nc1)c1ccccc1,5,CC(OC(NC(C(C(=O)O)(C)C)C1C=CC=CC=1)=O)(C)C,COC(C1C=CC(C=O)=CN=1)=O,N1CCC(C2=NN=NN2C)CC1,neg_control,expt007,490.6120000000002,2.2279999999999998
OpenDEL0013-133-60-340,133,60,340,CNC(=O)C(C)(C)C(NCc1ccc(C(=O)N2CCC3(CC2)CN(C(C)=O)[C@H]2COC[C@H]23)nc1)c1ccccc1,6,CC(OC(NC(C(C(=O)O)(C)C)C1C=CC=CC=1)=O)(C)C,COC(C1C=CC(C=O)=CN=1)=O,CC(N1CC2(CCNCC2)[C@H]3[C@@H]1COC3)=O,neg_control,expt007,547.7000000000004,2.784200000000002
OpenDEL0013-133-60-380,133,60,380,CNC(=O)C(C)(C)C(NCc1ccc(C(=O)NC(C)c2cnc(C(F)(F)F)s2)nc1)c1ccccc1,6,CC(OC(NC(C(C(=O)O)(C)C)C1C=CC=CC=1)=O)(C)C,COC(C1C=CC(C=O)=CN=1)=O,CC(C1=CN=C(C(F)(F)F)S1)N,neg_control,expt007,519.5930000000002,4.651000000000003
OpenDEL0013-133-60-381,133,60,381,CNC(=O)C(C)(C)C(NCc1ccc(C(=O)NCCc2ccc(S(C)(=O)=O)cc2)nc1)c1ccccc1,5,CC(OC(NC(C(C(=O)O)(C)C)C1C=CC=CC=1)=O)(C)C,COC(C1C=CC(C=O)=CN=1)=O,NCCC1C=CC(S(=O)(C)=O)=CC=1,neg_control,expt007,522.6710000000003,3.0607000000000015
OpenDEL0013-138-60-387,138,60,387,CNC(=O)C[C@@H](COCc1ccccc1)NCc1ccc(C(=O)NCC2CCCN(Cc3ncon3)C2)nc1,5,OC(C[C@H](NC(OC(C)(C)C)=O)COCC1C=CC=CC=1)=O,COC(C1C=CC(C=O)=CN=1)=O,NCC1CCCN(CC2N=CON=2)C1,neg_control,expt007,535.6490000000003,1.9177000000000006
OpenDEL0013-164-60-21,164,60,21,CNC(=O)CC(NCc1ccc(C(=O)N2CCC[C@@H]2Cc2cccs2)nc1)C1CCCCCC1,5,OC(CC(C1CCCCCC1)NC(OC(C)(C)C)=O)=O,COC(C1C=CC(C=O)=CN=1)=O,C1CN[C@@H](CC2=CC=CS2)C1,neg_control,expt007,482.6940000000003,4.555100000000004
OpenDEL0013-171-60-119,171,60,119,CNC(=O)C[C@@H](CCc1ccccc1)NCc1ccc(C(=O)N2CCCC2Cc2ccccc2OC)nc1,5,OC(C[C@H](NC(OC(C)(C)C)=O)CCC1C=CC=CC=1)=O,COC(C1C=CC(C=O)=CN=1)=O,COC1C=CC=CC=1CC2CCCN2,neg_control,expt007,514.6700000000004,4.164600000000004
OpenDEL0013-181-40-330,181,40,330,CNC(=O)C1(CNCc2c(F)cc(C(=O)N3CCn4cc(C5CCCC5)nc4C3)cc2F)CC(F)(F)C1,5,CC(OC(NCC1(CC(F)(F)C1)C(=O)O)=O)(C)C,O=CC1C(F)=CC(C(=O)O)=CC=1F,C1CCC(C2=CN3C(CNCC3)=N2)C1,neg_control,expt007,521.5590000000003,3.7260000000000018
OpenDEL0013-189-5-464,189,5,464,CNC(=O)c1ccnc(CNCc2ccc(C(=O)Nc3nnc(Cc4ccccc4)s3)nc2)c1,5,O=C(NCC1N=CC=C(C(=O)O)C=1)OC(C)(C)C,O=CC1C=CC(C(=O)O)=NC=1,NC1=NN=C(CC2C=CC=CC=2)S1,neg_control,expt007,473.5620000000001,2.8206000000000007
OpenDEL0013-19-60-375,19,60,375,COC(=O)N1CCC(C(C)NC(=O)c2ccc(CNC[C@@H](NC(C)=O)c3ccccc3)cn2)CC1,5,O=C(OC(C)(C)C)NC[C@H](C1C=CC=CC=1)N,COC(C1C=CC(C=O)=CN=1)=O,COC(N1CCC(C(N)C)CC1)=O,neg_control,expt007,481.5970000000002,2.6453000000000007
OpenDEL0013-194-60-162,194,60,162,CNC(=O)C[C@@H](Cc1ccccc1)NCc1ccc(C(=O)N(C)CC2CN(C)C2)nc1,5,OC(C[C@H](NC(OC(C)(C)C)=O)CC1C=CC=CC=1)=O,COC(C1C=CC(C=O)=CN=1)=O,CNCC1CN(C)C1,neg_control,expt007,423.56100000000026,1.5522
OpenDEL0013-194-60-235,194,60,235,CNC(=O)C[C@@H](Cc1ccccc1)NCc1ccc(C(=O)NCc2ccc(Oc3cncc(C)n3)cc2)nc1,5,OC(C[C@H](NC(OC(C)(C)C)=O)CC1C=CC=CC=1)=O,COC(C1C=CC(C=O)=CN=1)=O,NCC1C=CC(OC2C=NC=C(C)N=2)=CC=1,neg_control,expt007,524.6250000000003,3.739320000000002
OpenDEL0013-194-60-255,194,60,255,CNC(=O)C[C@@H](Cc1ccccc1)NCc1ccc(C(=O)NC2CC(C(C)(C)C)C2)nc1,5,OC(C[C@H](NC(OC(C)(C)C)=O)CC1C=CC=CC=1)=O,COC(C1C=CC(C=O)=CN=1)=O,NC1CC(C(C)(C)C)C1,neg_control,expt007,436.60000000000025,3.4731000000000014
OpenDEL0013-204-60-338,204,60,338,CNC(=O)C[C@@H](CC(C)C)NCc1ccc(C(=O)N2CCCC2CN2CCC(C)CC2)nc1,6,CC(C[C@@H](NC(OC(C)(C)C)=O)CC(=O)O)C,COC(C1C=CC(C=O)=CN=1)=O,CC1CCN(CC2CCCN2)CC1,neg_control,expt007,457.66300000000035,3.0585000000000013
OpenDEL0013-218-51-220,218,51,220,CNC(=O)CCC(NCc1cnc(C(=O)NCCC2CC(OC(C)(C)C)C2)cc1C)c1ccccc1,5,OC(CCC(C1C=CC=CC=1)NC(OC(C)(C)C)=O)=O,COC(C1N=CC(C=O)=C(C)C=1)=O,NCCC1CC(OC(C)(C)C)C1,neg_control,expt007,494.6800000000003,4.460720000000004
OpenDEL0013-222-60-69,222,60,69,CCCn1nccc1C1CCCN1C(=O)c1ccc(CN[C@@H](CC(=O)NC)Cc2ccccc2F)cn1,5,OC(C[C@@H](CC1C=CC=CC=1F)NC(OC(C)(C)C)=O)=O,COC(C1C=CC(C=O)=CN=1)=O,CCCN1N=CC=C1C2CCCN2,neg_control,expt007,506.6260000000002,3.6415000000000015
OpenDEL0013-268-60-184,268,60,184,CCn1cnnc1NC(=O)c1ccc(CNC(CC(=O)NC)CC(C)C)cn1,5,CC(CC(NC(OCC1C2=C(C=CC=C2)C3=C1C=CC=C3)=O)CC(=O)O)C,COC(C1C=CC(C=O)=CN=1)=O,CCN1C=NN=C1N,neg_control,expt007,387.48800000000017,1.5857
OpenDEL0013-268-60-314,268,60,314,CNC(=O)CC(CC(C)C)NCc1ccc(C(=O)NC2CC(COCc3ccccc3)C2)nc1,5,CC(CC(NC(OCC1C2=C(C=CC=C2)C3=C1C=CC=C3)=O)CC(=O)O)C,COC(C1C=CC(C=O)=CN=1)=O,NC1CC(COCC2C=CC=CC=2)C1,neg_control,expt007,466.6260000000002,3.4472000000000014
OpenDEL0013-268-60-316,268,60,316,CNC(=O)CC(CC(C)C)NCc1ccc(C(=O)NC(c2cccc(C#N)c2)C(F)(F)F)nc1,5,CC(CC(NC(OCC1C2=C(C=CC=C2)C3=C1C=CC=C3)=O)CC(=O)O)C,COC(C1C=CC(C=O)=CN=1)=O,N#CC1C=CC=C(C(C(F)(F)F)N)C=1,neg_control,expt007,475.51500000000004,3.627080000000001
OpenDEL0013-268-60-387,268,60,387,CNC(=O)CC(CC(C)C)NCc1ccc(C(=O)NCC2CCCN(Cc3ncon3)C2)nc1,5,CC(CC(NC(OCC1C2=C(C=CC=C2)C3=C1C=CC=C3)=O)CC(=O)O)C,COC(C1C=CC(C=O)=CN=1)=O,NCC1CCCN(CC2N=CON=2)C1,neg_control,expt007,471.6060000000003,1.747000000000001
OpenDEL0013-271-60-184,271,60,184,CCn1cnnc1NC(=O)c1ccc(CNC(CC(=O)NC)C(C)(C)C)cn1,7,OC(CC(C(C)(C)C)NC(OCC1C2=C(C=CC=C2)C3=C1C=CC=C3)=O)=O,COC(C1C=CC(C=O)=CN=1)=O,CCN1C=NN=C1N,neg_control,expt007,387.48800000000017,1.5857
OpenDEL0013-271-60-477,271,60,477,CNC(=O)CC(NCc1ccc(C(=O)Nc2cc(C(F)(F)F)ccc2-n2ccnc2)nc1)C(C)(C)C,6,OC(CC(C(C)(C)C)NC(OCC1C2=C(C=CC=C2)C3=C1C=CC=C3)=O)=O,COC(C1C=CC(C=O)=CN=1)=O,NC1C=C(C(F)(F)F)C=CC=1N2C=CN=C2,neg_control,expt007,502.54100000000017,4.1788000000000025
OpenDEL0013-271-60-533,271,60,533,CNC(=O)CC(NCc1ccc(C(=O)NCC2CCN2C)nc1)C(C)(C)C,5,OC(CC(C(C)(C)C)NC(OCC1C2=C(C=CC=C2)C3=C1C=CC=C3)=O)=O,COC(C1C=CC(C=O)=CN=1)=O,NCC1CCN1C,neg_control,expt007,375.51700000000017,1.1559000000000008
OpenDEL0013-271-60-56,271,60,56,CNC(=O)CC(NCc1ccc(C(=O)N(C)C[C@@H]2C[C@H](F)CN2Cc2ncccn2)nc1)C(C)(C)C,5,OC(CC(C(C)(C)C)NC(OCC1C2=C(C=CC=C2)C3=C1C=CC=C3)=O)=O,COC(C1C=CC(C=O)=CN=1)=O,CNC[C@@H]1C[C@H](F)CN1CC2N=CC=CN=2,neg_control,expt007,499.6350000000003,2.1966
OpenDEL0013-272-60-436,272,60,436,CNC(=O)C[C@H](NCc1ccc(C(=O)NC2CCCN(c3ccccn3)C2)nc1)c1ccc(C(F)(F)F)cc1,5,OC(C[C@@H](C1C=CC(C(F)(F)F)=CC=1)NC(OCC2C3=C(C=CC=C3)C4=C2C=CC=C4)=O)=O,COC(C1C=CC(C=O)=CN=1)=O,NC1CCCN(C2C=CC=CN=2)C1,neg_control,expt007,540.5900000000003,3.8612000000000037
OpenDEL0013-274-60-406,274,60,406,CCC(CCNC(=O)c1ccc(CN[C@@H](CC(=O)NC)c2ccsc2)cn1)N1CCCC1=O,5,OC(C[C@@H](C1C=CSC=1)NC(OCC2C3=C(C=CC=C3)C4=C2C=CC=C4)=O)=O,COC(C1C=CC(C=O)=CN=1)=O,NCCC(N1CCCC1=O)CC,neg_control,expt007,471.62700000000024,2.631000000000001
OpenDEL0013-274-60-427,274,60,427,CNC(=O)C[C@H](NCc1ccc(C(=O)N[C@H]2CCCC[C@H]2n2cc(C(=O)OC)nn2)nc1)c1ccsc1,5,OC(C[C@@H](C1C=CSC=1)NC(OCC2C3=C(C=CC=C3)C4=C2C=CC=C4)=O)=O,COC(C1C=CC(C=O)=CN=1)=O,COC(C1N=NN([C@@H]2CCCC[C@@H]2N)C=1)=O,neg_control,expt007,525.6350000000002,2.4018999999999995
OpenDEL0013-274-60-455,274,60,455,CNC(=O)C[C@H](NCc1ccc(C(=O)N2CCC(C)(C)C(c3ccccc3)C2)nc1)c1ccsc1,5,OC(C[C@@H](C1C=CSC=1)NC(OCC2C3=C(C=CC=C3)C4=C2C=CC=C4)=O)=O,COC(C1C=CC(C=O)=CN=1)=O,C1C=CC(C2CNCCC2(C)C)=CC=1,neg_control,expt007,490.6730000000002,4.7660000000000045
OpenDEL0013-274-60-534,274,60,534,CNC(=O)C[C@H](NCc1ccc(C(=O)NCc2ccncc2OC)nc1)c1ccsc1,5,OC(C[C@@H](C1C=CSC=1)NC(OCC2C3=C(C=CC=C3)C4=C2C=CC=C4)=O)=O,COC(C1C=CC(C=O)=CN=1)=O,NCC1C=CN=CC=1OC,neg_control,expt007,439.5410000000001,2.4437000000000006
OpenDEL0013-275-60-340,275,60,340,CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NCc1ccc(C(=O)N2CCC3(CC2)CN(C(C)=O)[C@H]2COC[C@H]23)nc1,5,OC([C@H](CC1=C[NH]C2=C1C=CC=C2)NC(OCC3C4=C(C=CC=C4)C5=C3C=CC=C5)=O)=O,COC(C1C=CC(C=O)=CN=1)=O,CC(N1CC2(CCNCC2)[C@H]3[C@@H]1COC3)=O,neg_control,expt007,558.6830000000003,2.1093000000000006
OpenDEL0013-275-60-353,275,60,353,CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NCc1ccc(C(=O)N2CCC(n3cnc4c3CCCC4)C2)nc1,6,OC([C@H](CC1=C[NH]C2=C1C=CC=C2)NC(OCC3C4=C(C=CC=C4)C5=C3C=CC=C5)=O)=O,COC(C1C=CC(C=O)=CN=1)=O,C1NCC(N2C=NC3=C2CCCC3)C1,neg_control,expt007,525.6570000000004,3.172300000000001
OpenDEL0013-278-60-290,278,60,290,CC[C@H](C)[C@@H](CC(=O)NC)NCc1ccc(C(=O)NCc2cccc(NC(=O)N(C)C)c2)nc1,5,CC[C@@H]([C@H](NC(OCC1C2=C(C=CC=C2)C3=C1C=CC=C3)=O)CC(=O)O)C,COC(C1C=CC(C=O)=CN=1)=O,NCC1C=CC=C(NC(N(C)C)=O)C=1,neg_control,expt007,468.60200000000015,2.7455000000000016
OpenDEL0013-279-60-151,279,60,151,CNC(=O)CC(NCc1ccc(C(=O)N2CCCC3(CCN(C)CC3)C2)nc1)c1ccc(C)o1,5,OC(CC(C1=CC=C(C)O1)NC(OCC2C3=C(C=CC=C3)C4=C2C=CC=C4)=O)=O,COC(C1C=CC(C=O)=CN=1)=O,CN1CCC2(CCCNC2)CC1,neg_control,expt007,467.6140000000003,2.8980200000000016
OpenDEL0013-279-60-228,279,60,228,CNC(=O)CC(NCc1ccc(C(=O)NC(C)C2CC(F)(F)C2)nc1)c1ccc(C)o1,5,OC(CC(C1=CC=C(C)O1)NC(OCC2C3=C(C=CC=C3)C4=C2C=CC=C4)=O)=O,COC(C1C=CC(C=O)=CN=1)=O,CC(C1CC(F)(F)C1)N,neg_control,expt007,434.4870000000002,3.113620000000001
OpenDEL0013-279-60-315,279,60,315,CNC(=O)CC(NCc1ccc(C(=O)NCC2CC(OCc3ccccc3)C2)nc1)c1ccc(C)o1,6,OC(CC(C1=CC=C(C)O1)NC(OCC2C3=C(C=CC=C3)C4=C2C=CC=C4)=O)=O,COC(C1C=CC(C=O)=CN=1)=O,NCC1CC(OCC2C=CC=CC=2)C1,neg_control,expt007,490.60400000000027,3.675220000000002
OpenDEL0013-280-60-229,280,60,229,CNC(=O)C[C@H](O)[C@H](CC(C)C)NCc1ccc(C(=O)NCc2c(C)nn(C)c2N2CCCOC(C)C2)nc1,5,OC(C[C@@H]([C@@H](NC(OCC1C2=C(C=CC=C2)C3=C1C=CC=C3)=O)CC(C)C)O)=O,COC(C1C=CC(C=O)=CN=1)=O,NCC1C(C)=NN(C)C=1N2CCCOC(C)C2,neg_control,expt007,543.7130000000003,1.6700200000000012
OpenDEL0013-280-60-284,280,60,284,CNC(=O)C[C@H](O)[C@H](CC(C)C)NCc1ccc(C(=O)N2CCN(CCSc3ccccc3)CC2)nc1,8,OC(C[C@@H]([C@@H](NC(OCC1C2=C(C=CC=C2)C3=C1C=CC=C3)=O)CC(C)C)O)=O,COC(C1C=CC(C=O)=CN=1)=O,N1CCN(CCSC2C=CC=CC=2)CC1,neg_control,expt007,527.7350000000004,2.633000000000001
OpenDEL0013-280-60-404,280,60,404,CNC(=O)C[C@H](O)[C@H](CC(C)C)NCc1ccc(C(=O)NC2CCn3cncc3C2)nc1,5,OC(C[C@@H]([C@@H](NC(OCC1C2=C(C=CC=C2)C3=C1C=CC=C3)=O)CC(C)C)O)=O,COC(C1C=CC(C=O)=CN=1)=O,NC1CCN2C(=CN=C2)C1,neg_control,expt007,442.5640000000002,1.0242000000000009
OpenDEL0013-280-60-496,280,60,496,CNC(=O)C[C@H](O)[C@H](CC(C)C)NCc1ccc(C(=O)N2CC3(CCOCC3)c3ccccc32)nc1,5,OC(C[C@@H]([C@@H](NC(OCC1C2=C(C=CC=C2)C3=C1C=CC=C3)=O)CC(C)C)O)=O,COC(C1C=CC(C=O)=CN=1)=O,O1CCC2(CNC3=C2C=CC=C3)CC1,neg_control,expt007,494.63600000000037,2.791500000000001
OpenDEL0013-286-60-372,286,60,372,CNC(=O)C[C@H](Cc1ccc(F)cc1)NCc1ccc(C(=O)N[C@H]2CCN(S(=O)(=O)c3ccccc3)C2)nc1,5,OC(C[C@@H](NC(OCC1C2=C(C=CC=C2)C3=C1C=CC=C3)=O)CC4C=CC(F)=CC=4)=O,COC(C1C=CC(C=O)=CN=1)=O,N[C@H]1CCN(S(C2C=CC=CC=2)(=O)=O)C1,neg_control,expt007,553.6600000000002,2.2507
OpenDEL0013-290-60-485,290,60,485,CNC(=O)CC(NCc1ccc(C(=O)N2CC=C(c3ccccc3S(C)(=O)=O)CC2)nc1)c1ccc(OC(F)(F)F)cc1,6,OC(CC(C1C=CC(OC(F)(F)F)=CC=1)NC(OCC2C3=C(C=CC=C3)C4=C2C=CC=C4)=O)=O,COC(C1C=CC(C=O)=CN=1)=O,N1CCC(C2C=CC=CC=2S(=O)(C)=O)=CC1,neg_control,expt007,616.6620000000004,4.280200000000003
OpenDEL0013-290-60-513,290,60,513,CNC(=O)CC(NCc1ccc(C(=O)Nc2nnc(CC(F)(F)F)s2)nc1)c1ccc(OC(F)(F)F)cc1,5,OC(CC(C1C=CC(OC(F)(F)F)=CC=1)NC(OCC2C3=C(C=CC=C3)C4=C2C=CC=C4)=O)=O,COC(C1C=CC(C=O)=CN=1)=O,NC1=NN=C(CC(F)(F)F)S1,neg_control,expt007,562.4960000000002,4.155800000000002
OpenDEL0013-290-60-523,290,60,523,CNC(=O)CC(NCc1ccc(C(=O)Nc2ccccc2-c2cccc(F)c2)nc1)c1ccc(OC(F)(F)F)cc1,5,OC(CC(C1C=CC(OC(F)(F)F)=CC=1)NC(OCC2C3=C(C=CC=C3)C4=C2C=CC=C4)=O)=O,COC(C1C=CC(C=O)=CN=1)=O,FC1C=CC=C(C2C=CC=CC=2N)C=1,neg_control,expt007,566.5550000000003,6.005600000000004
OpenDEL0013-294-60-360,294,60,360,CNC(=O)[C@@H](Cc1c[nH]c2ccccc12)NCc1ccc(C(=O)N2CCCN(C(=O)Oc3ccccc3)CC2)nc1,5,OC([C@@H](CC1=C[NH]C2=C1C=CC=C2)NC(OCC3C4=C(C=CC=C4)C5=C3C=CC=C5)=O)=O,COC(C1C=CC(C=O)=CN=1)=O,O=C(N1CCCNCC1)OC2C=CC=CC=2,neg_control,expt007,554.6510000000002,3.356700000000001
OpenDEL0013-302-5-521,302,5,521,CNC(=O)Cc1csc(CNCc2ccc(C(=O)N3CCC4(CC3)CC(=O)NC(=O)C4)nc2)n1,5,OC(CC1=CSC(CNC(OCC2C3=C(C=CC=C3)C4=C2C=CC=C4)=O)=N1)=O,O=CC1C=CC(C(=O)O)=NC=1,O=C1NC(=O)CC2(CCNCC2)C1,neg_control,expt007,484.5820000000004,0.7754000000000003
OpenDEL0013-302-60-135,302,60,135,CNC(=O)Cc1csc(CNCc2ccc(C(=O)N3CCCN(c4nc(C)ns4)CC3)nc2)n1,5,OC(CC1=CSC(CNC(OCC2C3=C(C=CC=C3)C4=C2C=CC=C4)=O)=N1)=O,COC(C1C=CC(C=O)=CN=1)=O,C1NCCN(C2SN=C(C)N=2)CC1,neg_control,expt007,500.65400000000034,1.628819999999999
OpenDEL0013-303-5-504,303,5,504,CNC(=O)c1coc(CNCc2ccc(C(=O)N3CCN(Cc4cnc(C)s4)CC3)nc2)n1,5,OC(C1=COC(CNC(OC(C)(C)C)=O)=N1)=O,O=CC1C=CC(C(=O)O)=NC=1,CC1=NC=C(CN2CCNCC2)S1,neg_control,expt007,469.5710000000003,1.4419199999999999
OpenDEL0013-310-60-22,310,60,22,CNC(=O)CC(NCc1ccc(C(=O)N(C)C(c2ccc(F)cc2)c2ncc[nH]2)nc1)c1ccc2ccccc2c1,5,OC(CC(C1C=CC2=C(C=CC=C2)C=1)NC(OCC3C4=C(C=CC=C4)C5=C3C=CC=C5)=O)=O,COC(C1C=CC(C=O)=CN=1)=O,FC1C=CC(C(C2=NC=C[NH]2)NC)=CC=1,neg_control,expt007,550.6380000000001,4.925600000000004
OpenDEL0013-311-60-303,311,60,303,CNC(=O)C(Cc1c[nH]c2ccccc12)NCc1ccc(C(=O)NCC(C)c2ccncc2)nc1,6,OC(C(CC1=C[NH]C2=C1C=CC=C2)NC(OCC3C4=C(C=CC=C4)C5=C3C=CC=C5)=O)=O,COC(C1C=CC(C=O)=CN=1)=O,NCC(C1C=CN=CC=1)C,neg_control,expt007,470.57700000000017,2.9383
OpenDEL0013-315-60-457,315,60,457,CNC(=O)c1sccc1CNCc1ccc(C(=O)N2CCC3(CC2)CC(C2CC2)=NO3)nc1,5,OC(C1SC=CC=1CNC(OCC2C3=C(C=CC=C3)C4=C2C=CC=C4)=O)=O,COC(C1C=CC(C=O)=CN=1)=O,N1CCC2(ON=C(C3CC3)C2)CC1,neg_control,expt007,467.59500000000037,2.9536000000000016
